incident_category,creator_id,integer,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
incident_incident,created,timestamp with time zone,TRUE,FALSE,TIMESTAMP,,
incident_incident,modified,timestamp with time zone,TRUE,FALSE,,,
incident_incident,rt_id,integer,TRUE,FALSE,,,
incident_incident,queue,integer,TRUE,FALSE,,,
incident_incident,subject,character varying,TRUE,FALSE,TEXT,,
incident_incident,organization_id,integer,TRUE,FALSE,,,
incident_incident,creator_id,integer,TRUE,FALSE,,,
incident_incident,source_ip,inet,TRUE,FALSE,ANON-IP,,
incident_incident,complainer,character varying,TRUE,FALSE,ANON-NUM,,
incident_incident,status,integer,TRUE,FALSE,,,
incident_incident,parent_id,integer,TRUE,FALSE,,,
incident_incident,resolved,timestamp with time zone,TRUE,FALSE,,,
incident_incident,type_id,integer,TRUE,FALSE,incident_type,,
incident_incident,notified,timestamp with time zone,TRUE,FALSE,,,
incident_incident,parser_result,text,TRUE,FALSE,?,,
incident_incident,vulnerability,boolean,TRUE,FALSE,,,
incident_incident,aggregator_id,integer,TRUE,FALSE,incident_incident.rt_id,,
,,,FALSE,FALSE,,,
incident_summary,summary_date,timestamp without time zone,TRUE,FALSE,TIMESTAMP,,
incident_summary,last_update,timestamp without time zone,TRUE,FALSE,,,
incident_summary,organization_id,integer,TRUE,FALSE,como dá join nessa tabela?,,
incident_summary,vulnerability,boolean,TRUE,FALSE,,,
incident_summary,closed,integer,TRUE,FALSE,,,
incident_summary,opened,integer,TRUE,FALSE,,,
incident_summary,missing,integer,TRUE,FALSE,,,
incident_summary,attacks_opened,integer,TRUE,FALSE,,,
incident_summary,closed_avg,numeric,TRUE,FALSE,,,
incident_summary,missing_avg,numeric,TRUE,FALSE,,,
incident_summary,score,numeric,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
incident_summary_users,summary_date,timestamp without time zone,TRUE,FALSE,,,
incident_summary_users,organization_id,integer,TRUE,FALSE,,,
incident_summary_users,user_id,integer,TRUE,FALSE,account_profile.user_id,,
incident_summary_users,permission,integer,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
incident_summary_users_view,summary_date,timestamp without time zone,FALSE,TRUE,,,X
incident_summary_users_view,organization_id,integer,FALSE,TRUE,,,X
incident_summary_users_view,permission,text,FALSE,TRUE,,,X
incident_summary_users_view,email,character varying,FALSE,TRUE,ANON-NUM,nao tem user_id,X
incident_summary_users_view,name,text,FALSE,TRUE,ANON-NUM,,
incident_summary_users_view,phone,character varying,FALSE,TRUE,,,
incident_summary_users_view,mobile,character varying,FALSE,TRUE,,,
incident_summary_users_view,voip,character varying,FALSE,TRUE,,,
incident_summary_users_view,pgp,character varying,FALSE,TRUE,,,
incident_summary_users_view,notes,text,FALSE,TRUE,TEXT,,X
incident_summary_users_view,organization,character varying,FALSE,TRUE,have organization_id,,
incident_summary_users_view,organization_acronym,character varying,FALSE,TRUE,,,
incident_summary_users_view,organization_level,integer,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
incident_type,id,integer,TRUE,FALSE,,,
incident_type,created,timestamp with time zone,TRUE,FALSE,,,
incident_type,modified,timestamp with time zone,TRUE,FALSE,,,
incident_type,name,character varying,TRUE,FALSE,,,
incident_type,category_id,integer,TRUE,FALSE,,,
incident_type,creator_id,integer,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
incidentparser_historicalparser,id,integer,TRUE,FALSE,,,
incidentparser_historicalparser,created,timestamp with time zone,TRUE,FALSE,TIMESTAMP,,
incidentparser_historicalparser,modified,timestamp with time zone,TRUE,FALSE,,,
incidentparser_historicalparser,slug,character varying,TRUE,FALSE,TEXT,,
incidentparser_historicalparser,title,character varying,TRUE,FALSE,TEXT,,
incidentparser_historicalparser,code,text,TRUE,FALSE,TEXT,,
incidentparser_historicalparser,identifiers,text,TRUE,FALSE,TEXT,,
incidentparser_historicalparser,response_template,text,TRUE,FALSE,TEXT,,
incidentparser_historicalparser,creator_id,integer,TRUE,FALSE,,,
incidentparser_historicalparser,enabled,boolean,TRUE,FALSE,,,
incidentparser_historicalparser,type_id,integer,TRUE,TRUE,,,
incidentparser_historicalparser,history_id,integer,TRUE,FALSE,,,
incidentparser_historicalparser,history_date,timestamp with time zone,TRUE,FALSE,,,
incidentparser_historicalparser,history_user_id,integer,TRUE,FALSE,auth_user,,
incidentparser_historicalparser,history_type,character varying,TRUE,FALSE,,,
incidentparser_historicalparser,acknowledge_template,text,TRUE,FALSE,TEXT,,
incidentparser_historicalparser,attack_template,text,TRUE,FALSE,TEXT,,
,,,FALSE,FALSE,,,
incidentparser_incidentparser,id,integer,TRUE,FALSE,,,
incidentparser_incidentparser,created,timestamp with time zone,TRUE,FALSE,TIMESTAMP,,
incidentparser_incidentparser,modified,timestamp with time zone,TRUE,FALSE,,,
incidentparser_incidentparser,incident_id,integer,TRUE,FALSE,,,
incidentparser_incidentparser,parser_id,integer,TRUE,FALSE,,,
incidentparser_incidentparser,task_id,character varying,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
incidentparser_parser,id,integer,TRUE,FALSE,,,
incidentparser_parser,created,timestamp with time zone,TRUE,FALSE,TIMESTAMP,,
incidentparser_parser,modified,timestamp with time zone,TRUE,FALSE,,,
incidentparser_parser,slug,character varying,TRUE,FALSE,TEXT,,
incidentparser_parser,title,character varying,TRUE,FALSE,TEXT,,
incidentparser_parser,code,text,TRUE,FALSE,TEXT,,
incidentparser_parser,creator_id,integer,TRUE,FALSE,,,
incidentparser_parser,identifiers,text,TRUE,FALSE,TEXT,,
incidentparser_parser,response_template,text,TRUE,FALSE,TEXT,,
incidentparser_parser,enabled,boolean,TRUE,FALSE,,,
incidentparser_parser,type_id,integer,TRUE,FALSE,,,
incidentparser_parser,acknowledge_template,text,TRUE,FALSE,TEXT,,
incidentparser_parser,attack_template,text,TRUE,FALSE,TEXT,,
,,,FALSE,FALSE,,,
network_network,id,integer,TRUE,FALSE,,,
network_network,created,timestamp with time zone,TRUE,FALSE,,,
network_network,modified,timestamp with time zone,TRUE,FALSE,,,
network_network,ip_network,cidr,TRUE,FALSE,ANON-IP,,
network_network,creator_id,integer,TRUE,FALSE,,,
network_network,organization_id,integer,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
notify_notification,id,integer,TRUE,FALSE,,,
notify_notification,subscription_id,integer,TRUE,FALSE,,,
notify_notification,message,text,TRUE,FALSE,TEXT,,
notify_notification,url,character varying,TRUE,FALSE,ANON-NUM,,
notify_notification,is_viewed,boolean,TRUE,FALSE,,,
notify_notification,is_emailed,boolean,TRUE,FALSE,,,
notify_notification,created,timestamp with time zone,TRUE,FALSE,TIMESTAMP,,
notify_notification,occurrences,integer,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
notify_notificationtype,key,character varying,TRUE,FALSE,,,
notify_notificationtype,label,character varying,TRUE,FALSE,,,
notify_notificationtype,content_type_id,integer,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
